Time (s),Time + delay (us),lamda (A),E (eV),Trans_OB,Trans_total,Norm_total,,,,,,,,,,,,,
9.60E-07,1.41E+00,3.46E-04,6.82E+05,67.223,2.694,0.040075569,,,,,,,,Source to detector (cm),1610.9,,,,
5.22E-05,5.26E+01,1.29E-02,4.90E+02,65.531,2.682,0.040927195,,,,,,,,,,,,,
0.00010336,1.04E+02,2.55E-02,1.26E+02,62.284,2.669,0.042852097,,,,,,,,Delay (us),0.45,,,,
0.00015456,1.55E+02,3.81E-02,5.64E+01,60.552,2.57,0.042442859,,,,,,,,,,,,,
0.00020576,2.06E+02,5.06E-02,3.19E+01,63.097,2.61,0.041364883,,,,,,,,Lamda range (A),0.000001,0.25,less than 0.25 A,,
0.00025696,2.57E+02,6.32E-02,2.05E+01,67.245,2.54,0.037772325,,,,,,,,E range (eV),8.1787E+13,1308.592,more than 1.3 KeV,,
0.00030816,3.09E+02,7.58E-02,1.42E+01,68.828,2.55,0.037048875,,,,,,,,,,,,,
0.00035936,3.60E+02,8.84E-02,1.05E+01,68.364,2.537,0.037110175,,,,,,,,,,,,,
0.00041056,4.11E+02,1.01E-01,8.03E+00,67.557,2.496,0.036946578,,,,,,,,,,,,,
0.00046176,4.62E+02,1.14E-01,6.35E+00,66.748,2.505,0.037529214,,,,,,,,,,,,,
0.00051296,5.13E+02,1.26E-01,5.14E+00,65.727,2.431,0.036986322,,,,,,,,,,,,,
0.00056416,5.65E+02,1.39E-01,4.25E+00,64.724,2.351,0.036323466,,,,,,,,,,,,,
0.00061536,6.16E+02,1.51E-01,3.58E+00,63.57,2.304,0.036243511,,,,,,,,,,,,,
0.00066656,6.67E+02,1.64E-01,3.05E+00,61.965,2.343,0.037811668,,,,,,,,,,,,,
0.00071776,7.18E+02,1.76E-01,2.63E+00,59.766,2.32,0.038818057,,,,,,,,,,,,,
0.00076896,7.69E+02,1.89E-01,2.29E+00,57.219,2.333,0.04077317,,,,,,,,,,,,,
0.00082016,8.21E+02,2.02E-01,2.01E+00,54.972,2.275,0.041384705,,,,,,,,,,,,,
0.00087136,8.72E+02,2.14E-01,1.78E+00,54.619,2.342,0.042878852,,,,,,,,,,,,,
0.00092256,9.23E+02,2.27E-01,1.59E+00,57.01,2.261,0.039659709,,,,,,,,,,,,,
0.00097376,9.74E+02,2.39E-01,1.43E+00,60.95,2.343,0.038441345,,,,,,,,,,,,,
0.00102496,1.03E+03,2.52E-01,1.29E+00,63.367,2.273,0.035870406,,,,,,,,,,,,,
0.00107616,1.08E+03,2.64E-01,1.17E+00,63.725,2.262,0.035496273,,,,,,,,,,,,,
0.00112736,1.13E+03,2.77E-01,1.07E+00,63.066,2.347,0.037214981,,,,,,,,,,,,,
0.00117856,1.18E+03,2.90E-01,9.76E-01,62.096,2.265,0.036475779,,,,,,,,,,,,,
0.00122976,1.23E+03,3.02E-01,8.96E-01,61.402,2.351,0.038288655,,,,,,,,,,,,,
0.00128096,1.28E+03,3.15E-01,8.26E-01,60.504,2.277,0.037633875,,,,,,,,,,,,,
0.00133216,1.33E+03,3.27E-01,7.64E-01,59.893,2.317,0.038685656,,,,,,,,,,,,,
0.00138336,1.38E+03,3.40E-01,7.08E-01,59.081,2.315,0.039183494,,,,,,,,,,,,,
0.00143456,1.44E+03,3.52E-01,6.59E-01,58.469,2.219,0.037951735,,,,,,,,,,,,,
0.00148576,1.49E+03,3.65E-01,6.14E-01,58.115,2.201,0.037873182,,,,,,,,,,,,,
0.00153696,1.54E+03,3.78E-01,5.74E-01,57.671,2.231,0.038684954,,,,,,,,,,,,,
0.00158816,1.59E+03,3.90E-01,5.37E-01,57.029,2.228,0.039067843,,,,,,,,,,,,,
