X,Y
1,1.179549
2,1.130418
3,0.976168
4,0.850560
5,0.905948
6,1.083111
7,1.191252
8,1.209868
9,1.167669
10,1.135110
11,1.102608
12,1.066590
13,1.026873
14,0.985099
15,0.925782
16,0.840633
17,0.739596
18,0.657469
19,0.670597
20,0.805041
21,0.974778
22,1.076084
23,1.097844
24,1.087557
25,1.067720
26,1.054381
27,1.045619
28,1.029209
29,1.023759
30,1.019566
31,1.011539
32,1.002428
33,1.003309
34,0.991249
35,0.988492
36,0.984027
37,0.981690
38,0.977198
39,0.974066
40,0.973219
41,0.967896
42,0.965445
43,0.966368
44,0.959904
45,0.959237
46,0.957621
47,0.954213
48,0.954963
49,0.954776
50,0.949805
51,0.951126
52,0.950659
53,0.948794
54,0.943157
55,0.941391
56,0.940866
57,0.932974
58,0.935509
59,0.938236
60,0.938247
61,0.936478
62,0.932694
63,0.932353
64,0.925529
65,0.921584
66,0.924288
67,0.919038
68,0.917743
69,0.918658
70,0.916433
71,0.915307
72,0.902624
73,0.864580
74,0.817698
75,0.826621
76,0.872036
77,0.902179
78,0.916491
79,0.921910
80,0.917012
81,0.914090
82,0.911524
83,0.914480
84,0.908368
85,0.908498
86,0.902930
87,0.903213
88,0.904094
89,0.902582
90,0.897415
91,0.900081
92,0.898767
93,0.894555
94,0.898223
95,0.899349
96,0.899292
97,0.895114
98,0.897289
99,0.896986
100,0.889733
101,0.887424
102,0.893475
103,0.888749
104,0.891315
105,0.888879
106,0.889948
107,0.882461
108,0.888037
109,0.884046
110,0.890204
111,0.884104
112,0.885134
113,0.886045
114,0.887612
115,0.888052
116,0.886470
117,0.891139
118,0.886478
119,0.886072
120,0.883012
121,0.876237
122,0.876142
123,0.879301
124,0.883138
125,0.883495
126,0.874120
127,0.876682
128,0.872201
129,0.872052
130,0.869505
131,0.871163
132,0.870631
133,0.870861
134,0.872270
135,0.873105
136,0.879845
137,0.881721
138,0.889117
139,0.903382
140,0.916184
141,0.919903
142,0.904037
143,0.893436
144,0.889545
145,0.883732
146,0.880971
147,0.878064
148,0.874920
149,0.880086
150,0.874610
151,0.873821
152,0.877226
153,0.880171
154,0.876739
155,0.870730
156,0.874219
157,0.874981
158,0.874595
159,0.873476
160,0.875100
161,0.870983
162,0.869984
163,0.875981
164,0.871937
165,0.868260
166,0.873974
167,0.868651
168,0.865943
169,0.871083
170,0.870872
171,0.868839
172,0.871496
173,0.870880
174,0.867716
175,0.867395
176,0.868915
177,0.869340
178,0.870393
179,0.864270
180,0.863546
181,0.862106
182,0.866093
183,0.870141
184,0.866924
185,0.864147
186,0.867307
187,0.867617
188,0.871535
189,0.871179
190,0.865338
191,0.864067
192,0.866702
193,0.864500
194,0.865522
195,0.861486
196,0.865438
197,0.863098
198,0.853784
199,0.852157
200,0.855251
201,0.854435
202,0.858077
203,0.860904
204,0.866085
205,0.859655
206,0.858491
207,0.858139
208,0.862393
209,0.860111
210,0.863937
211,0.862263
212,0.864488
213,0.859207
214,0.862328
215,0.862156
216,0.862075
217,0.860444
218,0.858575
219,0.865074
220,0.864147
221,0.867510
222,0.866035
223,0.861669
224,0.868421
225,0.868345
226,0.863098
227,0.867027
228,0.864323
229,0.860429
230,0.864668
231,0.862658
232,0.861053
233,0.859923
234,0.855653
235,0.864312
236,0.861053
237,0.867215
238,0.867199
239,0.863738
240,0.862857
241,0.858418
242,0.857181
243,0.861926
244,0.864507
245,0.860394
246,0.860203
247,0.859444
248,0.853386
249,0.854784
250,0.862045
251,0.859601
252,0.861298
253,0.859165
254,0.854684
255,0.860781
256,0.862952
257,0.861972
258,0.857131
259,0.860850
260,0.864251
261,0.860930
262,0.861964
263,0.855940
264,0.859471
265,0.857062
266,0.859877
267,0.859770
268,0.860662
269,0.858705
270,0.857660
271,0.856473
272,0.859456
273,0.859517
274,0.858414
275,0.858089
276,0.855898
277,0.851950
278,0.850943
279,0.858077
280,0.864461
281,0.871232
282,0.886417
283,0.876766
284,0.873109
285,0.867962
286,0.861788
287,0.861279
288,0.859238
289,0.855967
290,0.859379
291,0.858801
292,0.855799
293,0.852880
294,0.853620
295,0.848503
296,0.847657
297,0.842632
298,0.840105
299,0.838125
300,0.846879
301,0.847684
302,0.854558
303,0.854508
304,0.855871
305,0.851184
306,0.855140
307,0.858977
308,0.862252
309,0.861279
310,0.856898
311,0.860655
312,0.858288
313,0.855982
314,0.853589
315,0.851437
316,0.850889
317,0.852069
318,0.851620
319,0.859732
320,0.854106
321,0.857254
322,0.850594
323,0.848859
324,0.847611
325,0.844574
326,0.848047
327,0.852551
328,0.856496
329,0.854948
330,0.852976
331,0.858142
332,0.856032
333,0.854803
334,0.856484
335,0.850839
336,0.846784
337,0.844838
338,0.846918
339,0.849013
340,0.853654
341,0.859433
342,0.856082
343,0.859931
344,0.849606
345,0.853267
346,0.852555
347,0.855105
348,0.850403
349,0.849319
350,0.855132
351,0.854133
352,0.852333
353,0.852053
354,0.855232
355,0.849480
356,0.851008
357,0.844164
358,0.846202
359,0.849162
360,0.847389
361,0.846512
362,0.843295
363,0.839684
364,0.837148
365,0.835054
366,0.831155
367,0.827387
368,0.824242
369,0.821213
370,0.814584
371,0.804585
372,0.803850
373,0.798327
374,0.799139
375,0.799779
376,0.800545
377,0.806255
378,0.808016
379,0.810835
380,0.813060
381,0.816771
382,0.822523
383,0.829309
384,0.830642
385,0.836543
386,0.843804
387,0.844218
388,0.847607
389,0.847305
390,0.841989
391,0.833698
392,0.837665
393,0.848871
394,0.853217
395,0.848181
396,0.848350
397,0.850062
398,0.852720
399,0.851540
400,0.857556
401,0.854202
402,0.856059
403,0.857648
404,0.853095
405,0.852337
406,0.847975
407,0.848561
408,0.847768
409,0.849855
410,0.853700
411,0.852356
412,0.852666
413,0.855201
414,0.854428
415,0.848993
416,0.843774
417,0.838435
418,0.834850
419,0.835237
420,0.842751
421,0.852965
422,0.849219
423,0.856189
424,0.858257
425,0.851433
426,0.845248
427,0.843207
428,0.843911
429,0.842950
430,0.852023
431,0.849350
432,0.855979
433,0.852555
434,0.860697
435,0.857893
436,0.860467
437,0.861788
438,0.861359
439,0.863098
440,0.861026
441,0.860685
442,0.857120
443,0.853359
444,0.857070
445,0.852333
446,0.853083
447,0.854922
448,0.859307
449,0.865855
450,0.867245
451,0.868237
452,0.862788
453,0.869896
454,0.869490
455,0.860739
456,0.847664
457,0.840120
458,0.842215
459,0.846631
460,0.851739
461,0.856469
462,0.852777
463,0.847573
464,0.850667
465,0.844088
466,0.849464
467,0.854677
468,0.855002
469,0.851552
470,0.852107
471,0.850724
472,0.851326
473,0.845619
474,0.834510
475,0.834847
476,0.838117
477,0.849166
478,0.848813
479,0.854895
480,0.851931
481,0.858016
482,0.853738
483,0.855205
484,0.857013
485,0.856136
486,0.853754
487,0.856859
488,0.860777
489,0.859096
490,0.856836
491,0.854152
492,0.841989
493,0.839879
494,0.843812
495,0.850158
496,0.852528
497,0.850100
498,0.840151
499,0.820443
500,0.817108
501,0.818506
502,0.832530
503,0.849323
504,0.851762
505,0.858001
506,0.857124
507,0.859452
508,0.861332
509,0.856136
510,0.856565
511,0.859276
512,0.861784
513,0.861547
514,0.862275
515,0.861198
516,0.862684
517,0.860658
518,0.859605
519,0.861444
520,0.860567
521,0.859801
522,0.856691
