X,Y
1,1.579395
2,1.478909
3,1.248785
4,1.014466
5,1.107222
6,1.385490
7,1.551237
8,1.592314
9,1.528821
10,1.519103
11,1.445451
12,1.373344
13,1.302893
14,1.257840
15,1.157354
16,1.028269
17,0.858768
18,0.740283
19,0.762147
20,0.962898
21,1.218308
22,1.384717
23,1.445119
24,1.451524
25,1.383503
26,1.375331
27,1.373896
28,1.323542
29,1.328070
30,1.332708
31,1.306537
32,1.280256
33,1.269103
34,1.297814
35,1.285004
36,1.276833
37,1.257951
38,1.262699
39,1.237301
40,1.246025
41,1.242933
42,1.238185
43,1.245473
44,1.254307
45,1.249117
46,1.193132
47,1.191586
48,1.229572
49,1.206051
50,1.214333
51,1.189819
52,1.226921
53,1.226259
54,1.197438
55,1.183414
56,1.199095
57,1.188825
58,1.205720
59,1.206493
60,1.189598
61,1.167513
62,1.181206
63,1.198211
64,1.166961
65,1.162213
66,1.207266
67,1.166740
68,1.153600
69,1.180764
70,1.191696
71,1.165857
72,1.171268
73,1.099713
74,1.016343
75,1.003092
76,1.101038
77,1.158679
78,1.141122
79,1.174249
80,1.162986
81,1.165967
82,1.164973
83,1.163648
84,1.152496
85,1.144655
86,1.146974
87,1.128644
88,1.142337
89,1.150066
90,1.157244
91,1.170716
92,1.118706
93,1.148631
94,1.130632
95,1.154925
96,1.156471
97,1.127208
98,1.116056
99,1.107663
100,1.131957
101,1.128202
102,1.153048
103,1.138251
104,1.146091
105,1.137920
106,1.133282
107,1.134717
108,1.132951
109,1.149845
110,1.157686
111,1.125442
112,1.122792
113,1.118816
114,1.125221
115,1.144987
116,1.129307
117,1.152937
118,1.119368
119,1.130521
120,1.111749
121,1.111970
122,1.106890
123,1.102694
124,1.122571
125,1.140018
126,1.100044
127,1.119037
128,1.104903
129,1.111639
130,1.092094
131,1.078511
132,1.081272
133,1.072769
134,1.122350
135,1.108989
136,1.122792
137,1.099934
138,1.097836
139,1.134496
140,1.157023
141,1.167292
142,1.132840
143,1.135932
144,1.126546
145,1.109209
146,1.130963
147,1.109761
148,1.097063
149,1.106007
150,1.106007
151,1.122239
152,1.116166
153,1.127098
154,1.127208
155,1.110645
156,1.122902
157,1.127208
158,1.105565
159,1.115283
160,1.122129
161,1.087456
162,1.105897
163,1.122019
164,1.120914
165,1.110645
166,1.106559
167,1.101038
168,1.127319
169,1.146422
170,1.119589
171,1.102253
172,1.104019
173,1.099382
174,1.107222
175,1.103136
176,1.113626
177,1.094302
178,1.120141
179,1.125221
180,1.110534
181,1.090769
182,1.090106
183,1.086904
184,1.101701
185,1.103578
186,1.108216
187,1.106559
188,1.113958
189,1.111197
190,1.098277
191,1.090327
192,1.113847
193,1.119920
194,1.107332
195,1.093087
196,1.093640
197,1.101811
198,1.110314
199,1.102584
200,1.094523
201,1.095517
202,1.100707
203,1.085247
204,1.086572
205,1.079505
206,1.083039
207,1.082045
208,1.080389
209,1.090769
210,1.119810
211,1.100928
212,1.101038
213,1.087898
214,1.111087
215,1.107995
216,1.101480
217,1.078180
218,1.084364
219,1.121687
220,1.069567
221,1.107553
222,1.096731
223,1.077297
224,1.119037
225,1.096069
226,1.108216
227,1.086793
228,1.080941
229,1.089112
230,1.101369
231,1.095186
232,1.107332
233,1.107001
234,1.105234
235,1.104682
236,1.090658
237,1.094965
238,1.127319
239,1.114620
240,1.079505
241,1.090106
242,1.054660
243,1.101038
244,1.081162
245,1.089664
246,1.089885
247,1.078070
248,1.090216
249,1.109982
250,1.102142
251,1.095738
252,1.087898
253,1.115062
254,1.099161
255,1.087014
256,1.107774
257,1.095848
258,1.128644
259,1.118043
260,1.095186
261,1.121466
262,1.108216
263,1.080278
264,1.081935
265,1.084143
266,1.098167
267,1.076524
268,1.062500
269,1.101921
270,1.099713
271,1.108657
272,1.096069
273,1.059960
274,1.072107
275,1.096842
276,1.084143
277,1.098057
278,1.081935
279,1.087566
280,1.105124
281,1.123123
282,1.116718
283,1.093198
284,1.117822
285,1.120583
286,1.089664
287,1.081051
288,1.059298
289,1.061064
290,1.084474
291,1.073874
292,1.079505
293,1.093308
294,1.074867
295,1.075972
296,1.084143
297,1.086572
298,1.067800
299,1.076966
300,1.052672
301,1.068905
302,1.071113
303,1.096842
304,1.083039
305,1.087787
306,1.060844
307,1.086793
308,1.086462
309,1.106338
310,1.088781
311,1.067469
312,1.068794
313,1.086572
314,1.075640
315,1.086904
316,1.097504
317,1.063383
318,1.076413
319,1.101038
320,1.087125
321,1.080168
322,1.066475
323,1.074095
324,1.084585
325,1.078180
326,1.080389
327,1.084474
328,1.069125
329,1.075420
330,1.065702
331,1.098830
332,1.097946
333,1.082155
334,1.096621
335,1.089223
336,1.074978
337,1.086793
338,1.096842
339,1.074647
340,1.092646
341,1.113074
342,1.094302
343,1.094413
344,1.078291
345,1.075972
346,1.080499
347,1.106780
348,1.095296
349,1.041740
350,1.072880
351,1.089002
352,1.069898
353,1.065813
354,1.072217
355,1.053997
356,1.062942
357,1.067690
358,1.066034
359,1.073101
360,1.062831
361,1.042292
362,1.082708
363,1.053997
364,1.064267
365,1.030035
366,1.065702
367,1.037986
368,1.024404
369,1.036219
370,1.002981
371,1.014797
372,1.000110
373,1.019214
374,0.989178
375,0.967977
376,0.993043
377,1.010049
378,0.987301
379,0.997571
380,0.995362
381,0.990504
382,1.033900
383,1.042292
384,1.042734
385,1.047924
386,1.066696
387,1.063273
388,1.049580
389,1.088781
390,1.088229
391,1.042403
392,1.038869
393,1.092094
394,1.064377
395,1.089443
396,1.086352
397,1.076413
398,1.080720
399,1.064046
400,1.056427
401,1.050243
402,1.102473
403,1.087787
404,1.067690
405,1.090879
406,1.088118
407,1.073211
408,1.090769
409,1.064929
410,1.069567
411,1.082928
412,1.063825
413,1.097063
414,1.079947
415,1.066034
416,1.069898
417,1.066586
418,1.082818
419,1.078843
420,1.094192
421,1.111639
422,1.069788
423,1.076524
424,1.091983
425,1.088339
426,1.056537
427,1.070561
428,1.072990
429,1.053004
430,1.085468
431,1.068905
432,1.074978
433,1.069678
434,1.057089
435,1.100928
436,1.078843
437,1.064267
438,1.101921
439,1.079616
440,1.082597
441,1.069788
442,1.076193
443,1.060071
444,1.084585
445,1.082045
446,1.074426
447,1.078732
448,1.081272
449,1.082376
450,1.081272
451,1.084143
452,1.075309
453,1.078070
454,1.091431
455,1.077849
456,1.077076
457,1.095406
458,1.051789
459,1.078401
460,1.068905
461,1.081272
462,1.088118
463,1.067690
464,1.072659
465,1.089554
466,1.084695
467,1.081493
468,1.075420
469,1.070892
470,1.057641
471,1.077076
472,1.076966
473,1.075640
474,1.083039
475,1.074536
476,1.089996
477,1.078843
478,1.079395
479,1.091873
480,1.074095
481,1.098498
482,1.077628
483,1.064708
484,1.052341
485,1.062831
486,1.077407
487,1.081493
488,1.074647
489,1.066917
490,1.084143
491,1.072438
492,1.064598
493,1.103799
494,1.081493
495,1.090216
496,1.085137
497,1.065371
498,1.063163
499,1.080499
500,1.055433
501,1.091100
502,1.102253
503,1.079616
504,1.081162
505,1.094192
506,1.059077
507,1.078401
508,1.075309
509,1.059519
510,1.073101
511,1.072880
512,1.069346
513,1.055322
514,1.090769
515,1.094523
516,1.086131
517,1.106007
518,1.073432
519,1.069346
520,1.091983
521,1.060844
522,1.079616
523,1.085137
524,1.074867
525,1.079837
526,1.073432
527,1.078732
528,1.044943
529,1.047814
530,1.080168
531,1.040857
532,1.083149
533,1.070230
534,1.082376
535,1.075530
536,1.039863
537,1.051789
538,1.073874
539,1.098719
540,1.066586
541,1.087677
542,1.067580
543,1.092204
544,1.103136
545,1.074095
546,1.075972
547,1.061506
548,1.074315
549,1.088560
550,1.096290
551,1.085027
552,1.059960
553,1.063163
554,1.077518
555,1.076745
556,1.081051
557,1.052010
558,1.070230
559,1.077628
560,1.053004
561,1.063383
562,1.071334
563,1.057200
564,1.087345
565,1.065481
566,1.061175
567,1.083701
568,1.078843
569,1.063494
570,1.075972
571,1.075199
572,1.056868
573,1.081272
574,1.055985
575,1.072659
576,1.039973
577,1.081824
578,1.083260
579,1.063273
580,1.077297
581,1.066144
582,1.077518
583,1.082487
584,1.072328
585,1.054770
586,1.064488
587,1.060402
588,1.072217
589,1.085027
590,1.053445
591,1.091321
592,1.075861
593,1.077407
594,1.065813
595,1.062390
596,1.055985
597,1.080389
598,1.073763
599,1.068905
600,1.054881
601,1.067138
602,1.073101
603,1.089885
604,1.055322
605,1.063052
606,1.090106
607,1.061064
608,1.071996
609,1.051237
610,1.073211
611,1.094413
612,1.057310
613,1.055985
614,1.071003
615,1.057089
616,1.074978
617,1.068021
618,1.067248
619,1.067138
620,1.081051
621,1.089333
622,1.087235
623,1.076966
624,1.066365
625,1.093860
626,1.115835
627,1.082487
628,1.064598
629,1.060954
630,1.073653
631,1.084916
632,1.082818
633,1.062942
634,1.076303
635,1.053004
636,1.042845
637,1.066254
638,1.079726
639,1.069236
640,1.088118
641,1.081051
642,1.066807
643,1.060181
644,1.078953
645,1.062610
646,1.073874
647,1.045716
648,1.077628
649,1.071444
650,1.072217
651,1.063936
652,1.062942
653,1.064819
654,1.070119
655,1.048145
656,1.062169
657,1.073653
658,1.062279
659,1.068021
660,1.079064
661,1.081603
662,1.093529
663,1.073432
664,1.033348
665,1.045274
666,1.080830
667,1.071555
668,1.066586
669,1.063936
670,1.062169
671,1.066365
672,1.083812
673,1.077739
674,1.079505
675,1.075309
676,1.083812
677,1.062942
678,1.085247
679,1.077186
680,1.055875
681,1.082155
682,1.085579
683,1.081272
684,1.090437
685,1.064819
686,1.081935
687,1.077628
688,1.066696
689,1.062721
690,1.071555
691,1.042072
692,1.071223
693,1.070230
694,1.053556
695,1.077849
696,1.100265
697,1.062169
698,1.083591
699,1.054770
700,1.075972
701,1.076855
702,1.088229
703,1.074978
704,1.061506
705,1.066475
706,1.076745
707,1.061506
708,1.094081
709,1.077739
710,1.031913
711,1.036992
712,1.064708
713,1.043728
714,1.056316
715,1.047041
716,1.074647
717,1.057531
718,1.036219
719,1.060733
720,1.078732
721,1.078843
722,1.065150
723,1.067469
724,1.055654
725,1.048145
726,1.061396
727,1.051237
728,1.068242
729,1.061285
730,1.067911
731,1.070009
732,1.069457
733,1.061285
734,1.078511
735,1.069788
736,1.074315
737,1.076855
738,1.062390
739,1.051347
740,1.053335
741,1.067690
742,1.062169
743,1.051126
744,1.074536
745,1.064488
746,1.062169
747,1.053224
748,1.054881
749,1.070561
750,1.073542
751,1.078070
752,1.077959
753,1.053666
754,1.077076
755,1.062279
756,1.039311
757,1.058193
758,1.049249
759,1.048366
760,1.063494
761,1.080720
762,1.056648
763,1.052231
764,1.059298
765,1.075199
766,1.075972
767,1.083812
768,1.078953
769,1.061837
770,1.058525
771,1.051899
772,1.052672
773,1.086241
774,1.047041
775,1.057420
776,1.074647
777,1.060623
