X,Y
1,0.252061
2,0.243661
3,0.230179
4,0.220953
5,0.222962
6,0.232575
7,0.241443
8,0.241934
9,0.232454
10,0.225254
11,0.226218
12,0.221923
13,0.214307
14,0.209550
15,0.208482
16,0.202991
17,0.200092
18,0.194781
19,0.200462
20,0.212662
21,0.213135
22,0.212488
23,0.212246
24,0.208805
25,0.203678
26,0.203464
27,0.203516
28,0.199642
29,0.198002
30,0.196842
31,0.195999
32,0.194348
33,0.188805
34,0.186871
35,0.186928
36,0.185612
37,0.186900
38,0.186778
39,0.181859
40,0.181824
41,0.175468
42,0.175583
43,0.175629
44,0.174804
45,0.177275
46,0.174405
47,0.171778
48,0.168620
49,0.166946
50,0.167685
51,0.164267
52,0.165433
53,0.164082
54,0.164480
55,0.163279
56,0.159642
57,0.160387
58,0.159174
59,0.158204
60,0.155398
61,0.156692
62,0.156051
63,0.153868
64,0.151230
65,0.149983
66,0.150462
67,0.147973
68,0.148158
69,0.148008
70,0.140970
71,0.141391
72,0.143279
73,0.142142
74,0.141478
75,0.141264
76,0.142361
77,0.140283
78,0.143141
79,0.141594
80,0.138643
81,0.136876
82,0.138239
83,0.137211
84,0.133920
85,0.136749
86,0.135081
87,0.133632
88,0.132708
89,0.130445
90,0.130133
91,0.130826
92,0.131137
93,0.128297
94,0.129590
95,0.127818
96,0.129284
97,0.125375
98,0.127321
99,0.122223
100,0.125768
101,0.120352
102,0.121518
103,0.119671
104,0.122714
105,0.121692
106,0.119677
107,0.120318
108,0.121951
109,0.121917
110,0.118528
111,0.120387
112,0.119648
113,0.118874
114,0.115987
115,0.116345
116,0.115826
117,0.115139
118,0.114018
119,0.113112
120,0.110514
121,0.111016
122,0.110468
123,0.109775
124,0.109786
125,0.113383
126,0.111195
127,0.111738
128,0.111940
129,0.110115
130,0.109376
131,0.108037
132,0.110872
133,0.107200
134,0.108857
135,0.108666
136,0.109296
137,0.106299
138,0.107800
139,0.106871
140,0.106721
141,0.103158
142,0.101859
143,0.103701
144,0.101894
145,0.102615
146,0.101051
147,0.099469
148,0.100127
149,0.100352
150,0.099711
151,0.099873
152,0.100751
153,0.099174
154,0.098689
155,0.099936
156,0.098632
157,0.099804
158,0.097985
159,0.099001
160,0.098863
161,0.096236
162,0.096334
163,0.095300
164,0.097090
165,0.093539
166,0.092898
167,0.096236
168,0.095958
169,0.094665
170,0.094353
171,0.092771
172,0.092246
173,0.092777
174,0.090958
175,0.091807
176,0.090976
177,0.090156
178,0.091363
179,0.089682
180,0.091282
181,0.090260
182,0.090202
183,0.091010
184,0.089752
185,0.088967
186,0.086830
187,0.087540
188,0.087448
189,0.088083
190,0.086952
191,0.086547
192,0.084936
193,0.083811
194,0.083395
195,0.086126
196,0.085427
197,0.086241
198,0.084798
199,0.083839
200,0.083672
201,0.085704
202,0.084001
203,0.082512
204,0.084099
205,0.082148
206,0.082760
207,0.080826
208,0.081651
209,0.084682
210,0.081397
211,0.082904
212,0.081351
213,0.081917
214,0.080924
215,0.083464
216,0.080860
217,0.078516
218,0.082921
219,0.080641
220,0.080976
221,0.080416
222,0.079042
223,0.080999
224,0.080820
225,0.078447
226,0.076530
227,0.077742
228,0.079521
229,0.078147
230,0.076911
231,0.075023
232,0.077032
233,0.077188
234,0.076628
235,0.077350
236,0.077506
237,0.075035
238,0.077881
239,0.078176
240,0.079134
241,0.076132
242,0.076207
243,0.074677
244,0.075162
245,0.075502
246,0.074781
247,0.076201
248,0.076253
249,0.076755
250,0.074960
251,0.075993
252,0.075017
253,0.073320
254,0.074752
255,0.073424
256,0.073020
257,0.073077
258,0.072448
259,0.069890
260,0.071415
261,0.072731
262,0.072113
263,0.071507
264,0.071622
265,0.072575
266,0.070843
267,0.071622
268,0.070785
269,0.070098
270,0.075872
271,0.073129
272,0.072656
273,0.071432
274,0.068649
275,0.069596
276,0.069573
277,0.070196
278,0.072610
279,0.068210
280,0.070058
281,0.067587
282,0.069740
283,0.069694
284,0.068736
285,0.067783
286,0.069076
287,0.069480
288,0.067806
289,0.067945
290,0.067321
291,0.067812
292,0.067933
293,0.069677
294,0.069238
295,0.067171
296,0.068095
297,0.068626
298,0.065566
299,0.065537
300,0.064047
301,0.062950
302,0.067182
303,0.066796
304,0.066051
305,0.063204
306,0.063776
307,0.066288
308,0.066212
309,0.067009
310,0.064983
311,0.065924
312,0.064221
313,0.065508
314,0.064475
315,0.065346
316,0.064157
317,0.063256
318,0.065052
319,0.063170
320,0.064376
321,0.062898
322,0.062258
323,0.064076
324,0.063718
325,0.064544
326,0.065525
327,0.063147
328,0.062962
329,0.064192
330,0.064492
331,0.063915
332,0.063736
333,0.063597
334,0.062644
335,0.063048
336,0.062962
337,0.063366
338,0.062246
339,0.060930
340,0.061068
341,0.062604
342,0.063193
343,0.059798
344,0.062309
345,0.063297
346,0.061680
347,0.059446
348,0.060219
349,0.062535
350,0.060266
351,0.059238
352,0.059769
353,0.059122
354,0.060843
355,0.059596
356,0.061028
357,0.059452
358,0.059013
359,0.058135
360,0.058562
361,0.056969
362,0.058591
363,0.058857
364,0.060456
365,0.058482
366,0.058100
367,0.057615
368,0.058147
369,0.059273
370,0.060150
371,0.059203
372,0.058326
373,0.058326
374,0.058712
375,0.057182
376,0.058395
377,0.059896
378,0.057286
379,0.058152
380,0.057546
381,0.057904
382,0.058649
383,0.059781
384,0.058014
385,0.057615
386,0.060087
387,0.056553
388,0.057003
389,0.056467
390,0.056374
391,0.057223
392,0.057783
393,0.057587
394,0.056415
395,0.057177
396,0.059353
397,0.056316
398,0.056761
399,0.056969
400,0.056836
401,0.056674
402,0.056091
403,0.055699
404,0.054838
405,0.055543
406,0.056051
407,0.056813
408,0.055081
409,0.056328
410,0.055525
411,0.054931
412,0.054954
413,0.055173
414,0.055035
415,0.055254
416,0.057812
417,0.055941
418,0.055312
419,0.053476
420,0.053851
421,0.055237
422,0.056738
423,0.054983
424,0.055779
425,0.057113
426,0.056137
427,0.054815
428,0.055087
429,0.056132
430,0.054931
431,0.053528
432,0.052194
433,0.053187
434,0.052644
435,0.053759
436,0.053949
437,0.053741
438,0.054405
439,0.053874
440,0.052927
441,0.054654
442,0.054249
443,0.054353
444,0.052667
445,0.053031
446,0.053118
447,0.054486
448,0.053141
449,0.054942
450,0.053718
451,0.053770
452,0.050970
453,0.051848
454,0.053297
455,0.052136
456,0.054145
457,0.052229
458,0.052864
459,0.053891
460,0.050947
461,0.052119
462,0.051669
463,0.052003
464,0.051536
465,0.052650
466,0.051975
467,0.050098
468,0.051928
469,0.051137
470,0.052483
471,0.053077
472,0.052050
473,0.053574
474,0.051749
475,0.052771
476,0.051276
477,0.051986
478,0.052558
479,0.051784
480,0.052835
481,0.051940
482,0.051016
483,0.051553
484,0.049821
485,0.051501
486,0.050710
487,0.049573
488,0.051432
489,0.051039
490,0.049630
491,0.052281
492,0.051599
493,0.052950
494,0.050716
495,0.049648
496,0.051143
497,0.049815
498,0.048776
499,0.050878
500,0.051311
501,0.050098
502,0.050035
503,0.050110
504,0.050433
505,0.048897
506,0.051230
507,0.049723
508,0.049024
509,0.049296
510,0.050543
511,0.048528
512,0.051819
513,0.050958
514,0.048666
515,0.049913
516,0.049082
517,0.050237
518,0.048782
519,0.048597
520,0.050006
521,0.048303
522,0.049936
523,0.047281
524,0.051057
525,0.051189
526,0.049157
527,0.049411
