X,Y
1,2.927
2,3.182
3,3.237
4,2.949
5,3.101
6,2.902
7,3.069
8,3.142
9,2.975
10,3.006
11,2.940
12,2.837
13,2.679
14,2.867
15,2.881
16,2.853
17,2.669
18,2.914
19,2.699
20,2.859
21,2.863
22,2.883
23,2.948
24,2.676
25,3.039
26,2.818
27,2.705
28,2.896
29,2.652
30,2.679
31,2.730
32,2.693
33,2.671
34,2.647
35,2.686
36,2.653
37,2.723
38,2.659
39,2.453
40,2.488
41,2.621
42,2.578
43,2.764
44,2.729
45,2.577
46,2.952
47,2.911
48,2.852
49,2.827
50,2.699
51,2.889
52,2.764
53,2.816
54,2.875
55,2.825
56,2.772
57,2.824
58,2.756
59,2.879
60,2.769
61,2.871
62,2.674
63,2.660
64,2.626
65,2.748
66,2.732
67,2.725
68,2.790
69,2.638
70,2.745
71,2.791
72,2.776
73,2.802
74,2.840
75,3.007
76,2.931
77,2.927
78,2.932
79,2.945
80,2.850
81,2.843
82,2.873
83,2.781
84,2.794
85,2.877
86,2.967
87,2.888
88,2.923
89,3.111
90,3.142
91,3.087
92,3.206
93,3.117
94,3.352
95,3.339
96,3.451
97,3.230
98,3.428
99,3.358
100,3.335
101,3.385
102,3.245
103,3.364
104,3.287
105,3.253
106,3.137
107,3.179
108,3.314
109,3.387
110,3.639
111,3.314
112,3.535
113,3.234
114,3.348
115,3.414
116,3.200
117,3.458
118,3.052
119,2.987
120,2.843
121,2.882
122,2.734
123,2.754
124,2.690
125,2.834
126,2.735
127,2.839
128,2.787
129,2.729
130,2.601
131,2.578
132,2.649
133,2.527
134,2.616
135,2.590
136,2.493
137,2.566
138,2.477
139,2.442
140,2.556
141,2.656
142,2.457
143,2.416
144,2.934
145,2.888
146,2.985
147,2.808
148,2.847
149,2.637
150,2.534
151,2.613
152,2.421
153,2.375
154,2.152
155,2.255
156,2.178
157,2.124
158,2.017
159,2.091
160,2.021
161,2.009
162,2.012
163,1.997
164,2.010
165,1.963
166,1.996
167,1.934
168,1.902
